country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2025-08-16 05:04:21.198738160,16.509717,80.612222,SO2,8.0,13.0,9.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2025-11-23 05:36:09.085173504,16.554731,80.64911,NO2,24.0,26.0,25.0
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2025-12-03 08:46:56.403785488,16.536107,80.594233,PM2.5,47.0,65.0,54.0
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2025-06-27 11:16:50.725552048,16.536107,80.594233,PM10,41.0,60.0,49.0
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2023-05-29 01:44:28.769716088,16.536107,80.594233,SO2,6.0,8.0,7.0
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2023-10-17 22:15:31.230283912,16.536107,80.594233,CO,11.0,25.0,14.0
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2025-11-04 19:27:26.687697152,16.536107,80.594233,OZONE,1.0,44.0,22.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2022-05-28 20:12:52.239747634,26.10887,91.589544,NH3,15.0,23.0,17.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2023-08-14 21:48:15.899053624,26.10887,91.589544,CO,10.0,57.0,26.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2025-10-12 07:43:20.630914816,26.1875,91.744194,PM10,47.0,105.0,85.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2022-08-16 23:32:44.668769716,26.2028636,91.70046436,PM10,100.0,442.0,164.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2022-12-16 13:42:12.492113564,26.2028636,91.70046436,NH3,5.0,5.0,5.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2022-10-05 06:17:02.082018928,26.2028636,91.70046436,SO2,19.0,20.0,19.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2023-02-07 12:52:14.384858044,16.9872867,81.7363176,PM10,28.0,305.0,74.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2022-08-19 17:52:03.028391168,16.9872867,81.7363176,NO2,14.0,82.0,35.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2022-05-05 08:28:46.182965300,16.9872867,81.7363176,PM2.5,18.0,73.0,40.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2025-10-21 12:47:41.829652992,26.181742,91.78063,PM10,96.0,207.0,130.0
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2025-05-17 11:30:28.391167184,24.75746,84.366208,SO2,11.0,19.0,15.0
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2023-08-25 23:05:29.337539432,25.42742023,86.13886079,CO,,,
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2022-05-18 05:58:51.861198738,26.80365,84.51954,NH3,2.0,5.0,4.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2025-08-20 08:33:18.738170336,26.80365,84.51954,SO2,12.0,18.0,15.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2022-05-25 14:50:20.820189274,24.82827,92.79525,NH3,1.0,2.0,1.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2022-09-19 14:27:38.044164036,24.82827,92.79525,CO,20.0,36.0,25.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2023-11-30 16:21:11.924290216,26.987634,94.636574,NH3,3.0,6.0,4.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2023-02-20 21:25:33.123028388,26.987634,94.636574,OZONE,2.0,12.0,5.0
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2023-10-26 16:16:39.369085168,25.7808257,84.7446768,PM10,,,
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2025-06-01 16:16:39.369085168,25.7808257,84.7446768,SO2,,,
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2024-03-28 12:11:21.388012616,24.7955,84.9994,PM2.5,21.0,263.0,119.0
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2025-03-31 00:59:03.217665616,24.7955,84.9994,NO2,1.0,12.0,6.0
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2025-09-22 01:21:45.993690848,26.146529,87.454184,NH3,10.0,12.0,11.0
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",2023-09-01 20:53:45.236593056,25.5626095,84.663264,SO2,,,
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2025-08-31 09:50:32.176656144,26.446912,91.439057,PM2.5,77.0,280.0,132.0
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2025-04-03 17:24:47.697160880,25.7808257,84.7446768,PM2.5,,,
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-08-07 11:03:13.059936896,24.792403,84.992416,PM10,81.0,281.0,153.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2022-01-08 19:54:42.018927444,24.792403,84.992416,CO,10.0,131.0,37.0
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2022-12-22 13:24:02.271293376,26.349082,92.68449,NH3,4.0,4.0,4.0
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2022-10-01 13:51:17.602523660,26.1209,85.3647,SO2,2.0,4.0,3.0
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2024-11-24 20:17:24.794952672,26.1209,85.3647,OZONE,16.0,93.0,51.0
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2022-05-23 07:34:15.520504732,25.586562,85.043586,NH3,2.0,3.0,3.0
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2023-07-19 15:44:51.482649840,25.592539,85.227158,NO2,4.0,23.0,10.0
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2022-12-05 23:28:12.113564668,25.592539,85.227158,OZONE,12.0,36.0,21.0
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2022-05-30 05:22:31.419558360,25.610369,85.132568,CO,74.0,88.0,78.0
India,Bihar,Patna,"Muradpur, Patna - BSPCB",2025-09-16 23:46:22.334384848,25.619651,85.147382,PM2.5,96.0,328.0,231.0
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2025-02-01 00:13:37.665615136,25.599486,85.113666,NH3,1.0,2.0,1.0
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2024-06-30 22:10:58.675078864,25.599486,85.113666,SO2,1.0,3.0,1.0
India,Bihar,Patna,"Samanpura, Patna - BSPCB",2022-04-16 11:16:50.725552050,25.596727,85.085624,PM10,,,
India,Bihar,Munger,"Town Hall, Munger - BSPCB",2024-11-01 19:36:31.798107248,25.376776,86.471523,PM10,113.0,197.0,141.0
India,Bihar,Munger,"Town Hall, Munger - BSPCB",2023-12-22 18:55:38.801261824,25.376776,86.471523,OZONE,1.0,7.0,5.0
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2022-02-16 23:28:12.113564668,26.11442,85.39813,CO,18.0,84.0,32.0
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2025-10-10 22:33:41.451104096,26.1403345,85.3650192,PM2.5,37.0,320.0,156.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2024-02-17 21:34:38.233438480,24.762518,84.982348,PM2.5,19.0,78.0,48.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2025-10-07 06:07:56.971608832,24.762518,84.982348,NO2,17.0,25.0,22.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2023-05-10 15:35:46.372239744,24.762518,84.982348,NH3,3.0,4.0,3.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2024-08-24 17:33:52.807570976,25.697189,85.2459,NO2,14.0,45.0,28.0
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",2024-06-29 13:01:19.495268128,25.0328,85.41948,NO2,8.0,10.0,9.0
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",2023-03-03 22:42:46.561514192,25.0328,85.41948,OZONE,29.0,39.0,34.0
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",2022-03-30 10:17:47.507886435,25.892357,86.590325,PM2.5,48.0,200.0,109.0
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",2025-04-25 08:56:01.514195584,25.892357,86.590325,NO2,6.0,8.0,7.0
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",2022-12-10 14:00:22.712933752,25.859655,85.77944,PM10,55.0,187.0,114.0
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",2024-10-30 23:23:39.558359616,25.859655,85.77944,NH3,2.0,2.0,2.0
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",2023-11-26 23:55:27.444794952,25.859655,85.77944,SO2,8.0,32.0,29.0
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2022-07-18 01:03:35.772870662,27.308328,84.531742,OZONE,12.0,33.0,23.0
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2025-10-23 09:00:34.069400624,26.1403345,85.3650192,NO2,17.0,17.0,17.0
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2025-10-21 23:50:54.889589904,22.368195,82.746431,NH3,,,
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2022-03-03 17:11:10.031545741,22.368195,82.746431,SO2,,,
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2023-01-06 18:10:13.249211356,22.368195,82.746431,OZONE,,,
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2023-07-25 15:26:41.261829648,22.348441,82.549611,NO2,66.0,97.0,83.0
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2025-07-22 19:13:49.022082016,22.348441,82.549611,NH3,1.0,6.0,3.0
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",2025-03-05 05:58:51.861198736,24.952822,84.002396,NO2,2.0,3.0,2.0
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",2024-02-07 18:23:50.914826496,24.952822,84.002396,SO2,4.0,5.0,5.0
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2024-08-19 04:55:16.088328080,26.2271665,84.3570427,NH3,,,
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",2025-08-13 10:45:02.839116720,30.751462,76.762879,NO2,14.0,63.0,31.0
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",2023-11-20 02:07:11.545741320,30.719859,76.738637,PM10,,,
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2025-08-11 03:28:57.539432176,22.118125,83.140608,NH3,7.0,7.0,7.0
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",2025-06-16 21:02:50.347003152,30.751462,76.762879,PM10,48.0,110.0,90.0
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2024-07-20 17:29:20.252365920,21.224231,81.40835,PM2.5,32.0,93.0,56.0
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2022-01-21 06:21:34.637223974,21.224231,81.40835,PM10,37.0,136.0,70.0
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",2024-07-14 17:47:30.473186112,30.719859,76.738637,NH3,,,
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",2022-06-19 11:44:06.056782334,21.194815,81.31477,NH3,3.0,4.0,4.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2023-10-28 23:32:44.668769712,28.647622,77.315809,NO2,48.0,126.0,84.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2023-11-10 21:02:50.347003152,28.647622,77.315809,SO2,1.0,35.0,15.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-01-11 14:14:00.378548896,28.695381,77.181665,NH3,7.0,9.0,8.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",2023-09-19 08:56:01.514195584,28.7762,77.051074,SO2,9.0,109.0,52.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",2023-12-12 15:44:51.482649840,28.7762,77.051074,OZONE,3.0,142.0,93.0
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2022-03-06 00:27:15.331230284,28.7256504,77.2011573,PM2.5,16.0,398.0,185.0
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",2022-09-01 04:18:55.646687696,22.12665,83.483212,OZONE,8.0,9.0,8.0
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",2022-05-18 17:02:04.921135646,22.1910172,83.5197009,PM10,60.0,166.0,104.0
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",2022-05-29 07:16:05.299684542,21.258815,81.578979,OZONE,5.0,40.0,28.0
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2022-04-26 14:27:38.044164038,21.219665,81.630094,PM10,50.0,102.0,68.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",2024-11-15 15:13:03.596214512,28.588333,77.221667,PM2.5,60.0,308.0,174.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",2022-07-26 19:04:43.911671924,28.5918245,77.2273074,PM2.5,,,
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2022-06-02 21:48:15.899053628,28.611281,77.237738,PM10,70.0,228.0,138.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2024-08-28 21:02:50.347003152,28.611281,77.237738,NH3,14.0,20.0,17.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2024-03-11 22:15:31.230283912,28.611281,77.237738,SO2,12.0,53.0,24.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2024-12-01 07:02:27.634069392,28.6811736,77.3025234,NH3,10.0,15.0,12.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2023-07-03 23:55:27.444794952,28.6811736,77.3025234,CO,30.0,118.0,49.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",2023-11-07 15:40:18.927444792,28.628624,77.24106,PM2.5,54.0,343.0,169.0
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2022-03-23 23:32:44.668769716,28.636429,77.201067,OZONE,5.0,22.0,13.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2025-05-13 19:04:43.911671920,28.570173,76.933762,PM2.5,27.0,348.0,134.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2023-09-08 07:38:48.075709776,28.570173,76.933762,NO2,60.0,127.0,96.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",2023-07-31 04:05:17.981072552,28.628624,77.24106,NH3,6.0,14.0,9.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2022-04-09 13:28:34.826498422,28.73282,77.170633,PM2.5,48.0,434.0,253.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2024-12-28 00:09:05.110410096,28.73282,77.170633,PM10,100.0,435.0,279.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",2023-11-06 17:33:52.807570976,28.5512005,77.2735737,PM2.5,43.0,327.0,178.0
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",2024-10-11 04:05:17.981072544,28.5710274,77.0719006,PM10,86.0,500.0,204.0
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",2023-09-12 00:04:32.555205048,21.371751,81.664929,NO2,23.0,60.0,40.0
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",2023-06-07 17:52:03.028391168,21.371751,81.664929,NH3,3.0,3.0,3.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2023-06-14 04:37:05.867507888,28.73282,77.170633,CO,40.0,123.0,66.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2022-10-06 15:26:41.261829652,28.672342,77.31526,PM2.5,45.0,361.0,158.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2024-09-28 06:35:12.302839120,28.672342,77.31526,NO2,19.0,113.0,54.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2022-06-13 00:59:03.217665614,28.699793,77.165453,PM2.5,50.0,425.0,243.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2023-09-18 21:52:48.454258672,28.699793,77.165453,PM10,,,
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2023-06-25 05:54:19.305993688,28.699793,77.165453,NO2,50.0,266.0,133.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2022-12-15 04:32:33.312302836,28.699793,77.165453,SO2,27.0,102.0,55.0
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",2023-12-14 00:54:30.662460568,23.107969,72.574648,PM2.5,30.0,328.0,104.0
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",2022-05-14 02:29:54.321766562,28.674045,77.131023,OZONE,1.0,305.0,125.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",2024-12-02 16:12:06.813880128,28.639652,77.146275,PM2.5,37.0,305.0,126.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",2023-02-10 18:14:45.804416404,28.639652,77.146275,NO2,47.0,108.0,82.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",2025-10-25 16:16:39.369085168,28.639652,77.146275,NH3,6.0,15.0,11.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",2022-01-24 22:47:19.116719242,28.639652,77.146275,SO2,14.0,60.0,28.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2022-08-02 05:49:46.750788644,28.563262,77.186937,PM2.5,57.0,375.0,224.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2022-01-24 11:44:06.056782334,28.563262,77.186937,NO2,10.0,102.0,55.0
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",2023-05-22 14:59:25.930599368,23.107969,72.574648,OZONE,1.0,105.0,48.0
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",2022-01-30 00:22:42.776025236,22.977134,72.553024,OZONE,1.0,34.0,18.0
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2023-10-07 08:01:30.851735016,23.002657,72.591912,PM10,46.0,423.0,144.0
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2022-04-28 21:43:43.343848580,23.016834,72.625775,NO2,1.0,11.0,8.0
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2023-01-18 17:33:52.807570976,23.016834,72.625775,OZONE,2.0,92.0,40.0
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2022-03-20 07:07:00.189274448,23.041137,72.456691,CO,20.0,72.0,28.0
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2022-04-04 11:53:11.167192429,28.530785,77.271255,CO,57.0,132.0,76.0
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2025-06-16 09:59:37.287066240,28.530785,77.271255,OZONE,4.0,303.0,165.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",2022-09-13 14:45:48.264984228,28.623763,77.287209,PM2.5,32.0,329.0,137.0
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",2022-07-08 19:59:14.574132492,28.531346,77.190156,PM10,102.0,244.0,151.0
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",2024-06-24 11:25:55.835962144,28.531346,77.190156,NO2,9.0,97.0,54.0
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",2023-12-19 13:33:07.381703464,28.531346,77.190156,NH3,8.0,12.0,10.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",2022-02-02 05:45:14.195583596,28.6514781,77.1473105,PM10,124.0,492.0,214.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",2022-11-09 17:24:47.697160884,28.6514781,77.1473105,NH3,4.0,8.0,6.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2025-11-28 07:11:32.744479488,28.56789,77.250515,NO2,14.0,98.0,54.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2022-06-09 08:33:18.738170346,28.56789,77.250515,CO,19.0,105.0,45.0
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",2023-02-19 12:15:53.943217664,28.5504249,77.2159377,NO2,43.0,44.0,44.0
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",2023-06-27 13:10:24.605678232,28.422681,77.148944,PM2.5,42.0,304.0,141.0
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",2022-04-11 09:41:27.066246056,28.3153,76.9143,PM10,20.0,55.0,37.0
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",2025-12-26 20:31:02.460567824,28.3153,76.9143,SO2,8.0,44.0,23.0
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",2024-09-26 10:22:20.063091472,30.943887,76.801991,PM10,62.0,288.0,124.0
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",2022-09-24 04:59:48.643533124,30.943887,76.801991,NH3,5.0,8.0,7.0
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",2023-09-17 23:46:22.334384856,23.80569,86.44268,CO,1.0,2.0,2.0
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",2025-06-26 02:07:11.545741328,16.172806,75.659694,PM10,45.0,46.0,46.0
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",2023-08-30 13:37:39.936908512,12.9135218,77.5950804,NH3,,,
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",2025-10-25 05:13:26.309148256,12.9135218,77.5950804,CO,26.0,36.0,35.0
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2025-02-12 12:34:04.164037856,23.076793,72.627874,NO2,6.0,71.0,26.0
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",2022-04-21 01:49:01.324921136,23.04307,72.562968,PM10,50.0,126.0,76.0
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",2025-12-06 14:09:27.823343840,23.04307,72.562968,NO2,10.0,87.0,32.0
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",2023-11-02 03:01:42.208201888,21.613267,73.010555,SO2,45.0,45.0,45.0
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",2025-08-27 06:21:34.637223968,21.613267,73.010555,OZONE,31.0,40.0,33.0
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",2023-08-17 16:07:34.258675080,23.163798,72.677768,PM10,54.0,304.0,100.0
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",2025-06-09 12:11:21.388012608,23.243639,72.68994,PM10,60.0,142.0,99.0
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",2024-10-29 03:10:47.318611984,23.243639,72.68994,SO2,5.0,29.0,11.0
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",2023-05-15 06:07:56.971608832,20.362421,72.918013,PM2.5,42.0,233.0,122.0
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",2022-07-23 13:42:12.492113564,20.362421,72.918013,NO2,13.0,14.0,14.0
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2024-11-08 06:21:34.637223968,12.9756843,77.5660749,NO2,31.0,36.0,33.0
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",2022-04-08 04:18:55.646687697,22.410802,73.097923,NO2,4.0,27.0,14.0
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2023-07-19 04:41:38.422712928,13.029152,77.585901,OZONE,6.0,28.0,18.0
India,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB",2022-04-29 08:46:56.403785488,14.7918,75.3896,CO,,,
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",2024-05-18 15:08:31.041009456,15.3714823,75.1160168,OZONE,13.0,30.0,25.0
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",2022-02-05 00:04:32.555205047,17.321993,76.822628,PM2.5,35.0,92.0,61.0
